"ID","Sex","Grid","Year","julian","trial_id","Obs","docil","handlevent_year","Study","front","attack_rate","back","ln_attack_latency","ln_approach_latency","hole_rate","jump_rate","chew","still","hang","groom","walk","fecal","trial_life","trial_year"
1809,"M","KL","2009",181,"63021.48846.2009.181",NA,NA,NA,"RWT",11.1753846153846,1.24230769230769,-7.10211538461539,-0.946927275159137,-0.494229227830367,-0.533333333333334,-0.304402515723276,-2.86622641509435,-14.9203773584905,-4.44245283018869,0.421509433962263,-3.43641509433964,11,1,1
1809,"M","AG","2010",68,NA,"BJD",30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810,"M","KL","2010",118,NA,"DWA",17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2009",188,NA,"MNK",15,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2009",216,NA,"MNK",15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2009",247,NA,"DWA",17,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2009",275,NA,"KAR",15,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2010",96,NA,"DWA",17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2010",129,NA,"CD",27,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2010",134,NA,"RWT",9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,"M","KL","2010",136,NA,"CD",16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1813,"M","KL","2010",142,"63059.63060.2010.142","RWT",30,3,"RWT",4.94973684210517,-0.410526315789475,-49.0831578947368,0.303164505735397,-0.760972068967391,0.367099567099567,-2.12294372294372,-6.49727272727273,-4.62376623376624,0.811688311688309,-1.92948051948052,4.63987012987013,0,1,1
1813,"M","KL","2010",146,NA,"CD",28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1813,"M","KL","2010",149,NA,"RWT",27,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1813,"M","KL","2010",152,NA,"CD",27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2436,"F","KL","2010",66,NA,"FES",21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2436,"F","KL","2010",81,NA,"FES",30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2436,"F","KL","2010",88,NA,"FES",30,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2436,"F","KL","2010",137,NA,"RWT",17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2005",155,"63066.61837.2005.155","ADI",25,5,"AKB",79.5235810810811,-0.515405405405405,-44.0402027027027,0.283087278609374,0.657349706365556,-0.599427609427611,-3.01114478114478,-2.67666666666667,3.29037037037039,24.997164983165,-1.72710437710438,-7.62434343434344,0,1,1
1814,"M","SU","2005",170,NA,"KTF",22,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2005",181,NA,"KTF",19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2005",199,"63066.61837.2005.199","ADI",19,9,"AKB",-20.4764189189189,-0.515405405405405,55.9597972972973,0.308053947614373,0.682231007478127,-0.059427609427611,-0.611144781144782,0.0633333333333298,-10.1896296296296,14.347164983165,1.75289562289562,-2.65434343434344,16,2,2
1814,"M","SU","2005",247,NA,"ADI",14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2008",62,NA,"SNH",13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2009",165,NA,"ASC",22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2009",193,NA,"ASC",23,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2009",222,NA,"SBS",27,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2009",226,NA,"DWA",26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2010",95,NA,"DWA",22,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2010",115,NA,"SEM",27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2010",120,NA,"DWA",16,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2010",128,NA,"DWA",16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,"M","SU","2010",136,NA,"MLC",16,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437,"F","AG","2010",88,NA,"DSW",27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437,"F","AG","2010",104,NA,"DSW",25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2437,"F","AG","2010",150,NA,"DSW",28,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1816,"M","AG","2010",62,NA,"BJD",17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
